"","personid","yob","sex","edu","childincomecompare","adultincome","y92_simscore","y04_letterflu","y04_catflu","y04_simscore","y04_digit","y04_imrecall","y11_remember","y11_solve","y11_letterflu","y11_catflu","y11_digit","y11_imrecall","y04_involvechar","y04_involveorgs","y04_volrarelythink","y04_volloss","y04_volselfimport","y04_involvehobby","y04_involveinstru10","y04_involveinstru35"
"281",900977,39,2,-2,3,47000,5,-2,-2,4,-2,-2,2,1,18,-2,-2,-2,1,1,2,5,4,1,3,3
"284",900991,39,1,-2,3,64500,6,8,-2,8,5,3,1,1,9,-2,5,4,1,1,2,6,4,1,3,3
"287",900995,39,2,-2,2,55700,11,13,-2,7,7,8,1,1,13,-2,10,4,1,1,2,7,7,1,3,3
"289",900998,39,1,2,3,59800,7,-2,-2,3,-2,-2,2,2,15,-2,-2,-2,3,1,6,3,2,1,3,3
"290",900999,39,2,-2,3,19044,8,-2,-2,6,-2,-2,1,1,-30,-30,-30,-30,1,1,2,6,7,1,3,3
"291",901006,39,2,-2,2,70500,6,3,-2,6,7,6,1,1,7,-2,5,5,1,1,1,7,7,1,1,1
"293",901013,39,2,-2,4,43000,11,19,27,9,11,6,1,1,16,28,8,5,3,1,7,2,4,4,3,3
"295",901015,39,1,3,4,86000,10,-2,-2,9,-2,-2,1,1,10,-2,-2,-2,4,1,6,3,2,1,3,3
"297",901017,39,2,2,3,52000,5,14,23,7,8,6,1,1,11,16,6,5,3,1,7,1,1,1,3,3
"298",901019,39,2,-2,3,68400,3,-2,-2,2,-2,-2,1,1,9,-2,-2,-2,1,1,-3,-3,-3,1,3,3
"299",901021,40,2,-2,3,69500,8,17,29,9,6,7,2,2,-4,23,6,4,3,1,5,5,5,2,3,3
"300",901022,37,1,-2,2,80000,11,12,-2,9,4,10,2,1,15,-2,9,4,1,1,3,7,7,3,2,1
"303",901031,39,2,-2,4,38100,11,20,-2,10,7,7,1,1,17,-2,6,6,1,1,5,5,5,1,3,3
"305",901034,39,1,2,3,155080,7,13,-2,4,12,5,1,1,16,-2,11,6,2,1,5,5,4,1,3,3
"307",901036,40,2,1,4,150000,9,12,25,8,9,5,2,1,12,30,11,6,3,1,6,3,4,3,3,2
"308",901039,39,1,2,3,24000,8,13,12,9,10,5,1,3,9,10,2,3,2,2,1,6,6,1,1,1
"309",901041,39,1,-2,3,71200,9,9,29,7,-4,5,3,1,9,13,6,5,1,2,4,7,7,1,3,3
"311",901048,39,2,-2,3,11500,5,-2,-2,5,-2,-2,2,1,-4,-2,-2,-2,1,1,6,6,6,1,-3,-3
"313",901057,39,2,2,3,106000,12,-2,-2,9,-2,-2,2,1,12,-2,-2,-2,4,1,7,1,1,1,1,1
"316",901062,39,1,3,3,176150,7,5,31,9,10,5,1,1,6,27,10,5,1,1,1,7,7,1,3,3
"318",901070,39,1,-2,3,51000,7,10,19,4,0,7,2,1,7,14,0,5,1,1,7,7,7,1,3,3
